ProducerProductId,ProducerId,ProductCatalogId,Price,Currency,VatRate,Packaging,Grade,OrganicCert,HarvestDate,ExpiryDate,MinOrder,MaxPerOrder,Stock,Status,CreatedAt,UpdatedAt,IsActive
PP-IWYK7TCFN4,PR-867,CAT-0001,1079.85,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-12,,,,available,2025-11-10,2025-11-10,true
PP-PFQHJVPYSD,PR-548,CAT-0002,1621.63,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-12-01,,,,available,2025-11-10,2025-11-10,true
PP-GMHDFBLIZZ,PR-490,CAT-0003,1121.64,CRC,0.13,manojo,premium,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-DHT28S9E7C,PR-967,CAT-0004,991.29,CRC,0.13,kg,segunda,,2025-11-10,2025-11-22,,,,available,2025-11-10,2025-11-10,true
PP-5SZWEDC3IO,PR-331,CAT-0005,1023.19,CRC,0.13,docena,standard,,2025-11-10,2025-12-08,,,,available,2025-11-10,2025-11-10,true
PP-ODIV4R9YL9,PR-811,CAT-0006,1097.56,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-22,,,,available,2025-11-10,2025-11-10,true
PP-BMTDG7L0RW,PR-140,CAT-0007,1838.03,CRC,0.13,docena,premium,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-Y8UMRIG90H,PR-485,CAT-0008,2751.83,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-ZZJQP8OVUE,PR-548,CAT-0009,1026.49,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-12-05,,,,available,2025-11-10,2025-11-10,true
PP-V7F1D3DDLP,PR-351,CAT-0010,2675.93,CRC,0.13,manojo,premium,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-V5ACJKCOAC,PR-726,CAT-0011,2392.47,CRC,0.13,unidad,premium,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-2RSJTM95WR,PR-949,CAT-0012,2821.65,CRC,0.13,kg,standard,,2025-11-10,2025-11-16,,,,available,2025-11-10,2025-11-10,true
PP-9V38E4IEBU,PR-490,CAT-0013,2065.65,CRC,0.13,unidad,premium,,2025-11-10,2025-11-17,,,,available,2025-11-10,2025-11-10,true
PP-HCSQCEJ0FD,PR-572,CAT-0014,1656.90,CRC,0.13,docena,premium,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
