MarketId,MarketName,Province,Canton,District
MKT-000,Fuera de cobertura GAM,Cobertura,NoGAM,FueraDeGAM
MKT-001,Feria del Agricultor Heredia - La Perla,Heredia,Heredia,Mercedes Norte
MKT-002,Feria del Agricultor Grecia,Alajuela,Grecia,La Arena
MKT-003,Feria del Agricultor Pavas,San Jose,San Jose,Pavas
MKT-004,Feria Verde de Aranjuez,San Jose,San Jose,Aranjuez
MKT-005,Feria del Agricultor Zapote,San Jose,San Jose,Zapote
MKT-006,Feria del Agricultor Escazu,San Jose,Escazu,Escazu Centro
MKT-007,Feria del Agricultor Guachipelin,San Jose,Escazu,Guachipelin
MKT-008,Feria del Agricultor San Sebastian,San Jose,San Jose,San Sebastian
MKT-009,Feria del Agricultor Alajuelita,San Jose,Alajuelita,Alajuelita
MKT-010,Feria del Agricultor Belen,Heredia,Belen,San Antonio
MKT-011,Feria del Agricultor Barva,Heredia,Barva,Barva Centro
MKT-012,Feria del Agricultor Santo Domingo,Heredia,Santo Domingo,Santo Domingo
MKT-013,Feria del Agricultor Alajuela Centro,Alajuela,Alajuela,Alajuela Centro
MKT-014,Feria del Agricultor Cartago Centro,Cartago,Cartago,Oriental
MKT-015,Feria del Agricultor Paraiso,Cartago,Paraiso,Paraiso Centro
